Course,Section,Class,Credits,Title,Instructor(s),Time,Day,Room(s)
IST678,M001,21852,3.0,Comm for Info Professionals,Robert J Lally,2:15pm - 3:35pm,MW,Hinds Hall 120
IST678,M002,21854,3.0,Comm for Info Professionals,Laura D. Lisnyczyj,12:45pm - 2:05pm,MW,Hinds Hall 027
IST679,M001,21651,3.0,E-Commerce Technologies,Andrei V Vieru,9:30am - 12:15pm,Tu,Hinds Hall 013
IST686,M001,21721,3.0,Social Media in the Enterprise,Maren Guse,5:15pm - 8:00pm,W,Hinds Hall 018
IST687,M800,21790,3.0,Applied Data Science,Gary E Krudys,12:00am - 12:00am,,Online
IST687,M001,21888,3.0,Applied Data Science,Jeff Saltz,11:00am - 1:45pm,Th,Hinds Hall 011
IST687,M002,28381,3.0,Applied Data Science,Jeff Saltz,2:00pm - 4:45pm,Th,Hinds Hall 347
IST687,M003,28382,3.0,Applied Data Science,Yun Huang,9:30am - 12:15pm,M,Hinds Hall 011
IST687,M004,29713,3.0,Applied Data Science,Erik Scott Anderson,9:30am - 12:15pm,Th,Hinds Hall 117
IST711,M800,21718,3.0,e-Government,Amit Magdieli,12:00am - 12:00am,,Online
IST719,M001,21784,3.0,Information Visualization,Jeffery Joe Hemsley,9:30am - 12:15pm,W,Hinds Hall 010
IST719,M800,21800,3.0,Information Visualization,Yang Wang,12:00am - 12:00am,,
IST719,M002,21898,3.0,Information Visualization,Jeffery Joe Hemsley,9:30am - 12:15pm,M,Hinds Hall 010
IST722,M800,28729,3.0,Data Warehouse,Scott A Bernard,12:00am - 12:00am,,Online
IST722,M001,29419,3.0,Data Warehouse,Michael A Fudge Jr,8:00am - 10:45am,Tu,Hinds Hall 117
IST726,M800,21668,3.0,Enterprise Architecture,Scott A Bernard,12:00am - 12:00am,,Online
IST728,M001,21702,3.0,Information Security Policy,Lee W McKnight,1:00pm - 2:15pm,MW,106 DINEEN HALL 950 IRVING AVE
IST747,M001,21824,3.0,Complex Issues in IT Proj Mgmt,Arthur P. Thomas,5:15pm - 8:00pm,M,Hinds Hall 021
IST753,M001,21701,3.0,Enterprise Network Mgmt. III,Bahram A Attaie,9:30am - 12:15pm,W,Hinds Hall 027
IST754,M800,21802,3.0,Telecom Final Project,Lee H Badman,12:00am - 12:00am,,Online
IST755,M800,21690,3.0,Strategic Mgmt/Info Resources,Raed M. Sharif,12:00am - 12:00am,,Online
IST755,M002,21743,3.0,Strategic Mgmt/Info Resources,Kevin G Crowston,2:15pm - 5:00pm,F,Hinds Hall 018
IST776,M001,28544,3.0,Research Methods in IST,Jason Dedrick,9:30am - 12:15pm,M,Hinds Hall 117
IST800,M001,21816,1.0,Foundation ProSeminar: Int Inf,Steven B Sawyer,12:00am - 12:00am,,
IST810,M001,21628,2.0,Practicum in Research,Steven B Sawyer,9:30am - 12:15pm,Tu,Hinds Hall 121
IST840,M001,21639,1.0,Practicum in Teaching,Steven B Sawyer,9:30am - 12:15pm,Tu,Hinds Hall 121
IST971,M802,21629,1.0,Internship in Info Studies,R David Lankes,1:00am - 1:00am,,
IST971,M801,21753,1.0,Internship in Info Studies,Susan Monica Bonzi,12:00am - 12:00am,,
IST972,M001,21630,3.0,School Media Practicum,Renee F. Hill,1:00am - 1:00am,,
IST479,M001,21693,3.0,Electronic Commerce Tech.,Andrei V Vieru,9:30am - 12:15pm,Tu,Hinds Hall 013
IST486,M001,21722,3.0,Social Media in the Enterprise,Maren Guse,2:00pm - 3:20pm,TuTh,Watson Theater
IST486,M002,28886,3.0,Social Media in the Enterprise,Jennifer Stromer-Galley  Feifei Zhang,12:45pm - 2:05pm,MW,Hinds Hall 021
IST490,M001,29693,1.0,Independent Study,,12:00am - 12:00am,,
IST511,M001,21642,3.0,Intro to Library & Info Prof,R David Lankes,5:00pm - 7:45pm,Tu,Hinds Hall 018
IST522,M800,28379,3.0,Applied Info Security,Tyson Terrill Brooks Sr,12:00am - 12:00am,,
IST523,M001,21723,3.0,Graphic Design for the Web,Jeffrey Alan Passetti,5:00pm - 7:50pm,Tu,Hinds Hall 013
IST523,M002,21818,3.0,Graphic Design for the Web,Jeffrey Alan Passetti,5:00pm - 7:50pm,Th,Hinds Hall 120
IST558,M800,21689,3.0,Tech in Web Content Mgmt,Angela Usha Ramnarine-Rieks,12:00am - 12:00am,,Online
IST564,M800,21745,3.0,Lib Svces to Students w/Disab,Renee F. Hill,12:00am - 12:00am,,Online
IST565,M001,21681,3.0,Data Mining,Bei Yu,12:30pm - 3:15pm,Tu,Hinds Hall 013
IST565,M800,21850,3.0,Data Mining,Ying Lin,12:00am - 12:00am,,Online
IST565,M002,21908,3.0,Data Mining,Bei Yu,9:30am - 12:15pm,W,Hinds Hall 013
IST600,M800,21697,1.0,Grant Writing,Rebecca Anne Shaffer Mannion,12:00am - 12:00am,,Online
IST600,M801,21698,1.0,Library Budgeting,Rebecca Anne Shaffer Mannion,12:00am - 12:00am,,Online
IST600,M802,21699,1.0,Library Fundraising,Rebecca Anne Shaffer Mannion,12:00am - 12:00am,,Online
IST600,M001,28964,3.0,Cloud Management,Lee W McKnight,9:30am - 12:15pm,W,Hinds Hall 018
IST600,M002,29067,3.0,Enterprise IT Consultation,Michelle L. Brown,2:00pm - 4:45pm,Th,Hinds Hall 018
IST600,M200,29472,3.0,Academic Libraries,Alison Miller,12:00am - 12:00am,,
IST600,M201,29473,3.0,Archives: Access Advocacy and,Alison Miller,12:00am - 12:00am,,
IST600,M202,29474,3.0,Digital Curation Fundamentals,Alison Miller,12:00am - 12:00am,,
IST600,M203,29475,3.0,Digital Health,Alison Miller,12:00am - 12:00am,,
IST600,M204,29476,3.0,Health Sciences Resources,Alison Miller,12:00am - 12:00am,,
IST600,M205,29477,2.0,Intellectual Freedom & Censors,Alison Miller,12:00am - 12:00am,,
IST600,M206,29478,3.0,Social Informatics,Alison Miller,12:00am - 12:00am,,
